state,district,pincode,pincode_total,district_avg,state_avg
Gujarat,Junagadh,362020,41,2.2777777777777777,2.2777777777777777
Gujarat,Junagadh,362030,37,1.9473684210526316,1.9473684210526316
Gujarat,Junagadh,362037,57,2.7142857142857144,2.7142857142857144
Gujarat,Junagadh,362110,21,1.3125,1.3125
Gujarat,Junagadh,362120,30,1.6666666666666667,1.6666666666666667
Gujarat,Junagadh,362130,78,2.7857142857142856,2.7857142857142856
Gujarat,Junagadh,362135,7,1.1666666666666667,1.1666666666666667
Gujarat,Junagadh,362140,23,1.6428571428571428,1.6428571428571428
Gujarat,Junagadh,362150,38,2.0,2.0
Gujarat,Junagadh,362205,27,1.5,1.5
Gujarat,Junagadh,362215,26,1.5294117647058822,1.5294117647058822
Gujarat,Junagadh,362220,133,4.433333333333334,4.433333333333334
Gujarat,Junagadh,362222,20,1.25,1.25
Gujarat,Junagadh,362225,293,9.15625,9.15625
Gujarat,Junagadh,362226,8,1.3333333333333333,1.3333333333333333
Gujarat,Junagadh,362227,31,1.9375,1.9375
Gujarat,Junagadh,362229,21,1.3125,1.3125
Gujarat,Junagadh,362230,4,1.0,1.0
Gujarat,Junagadh,362235,85,4.473684210526316,4.473684210526316
Gujarat,Junagadh,362240,80,3.3333333333333335,3.3333333333333335
Gujarat,Junagadh,362245,148,5.285714285714286,5.285714285714286
Gujarat,Junagadh,362250,89,2.870967741935484,2.870967741935484
Gujarat,Junagadh,362255,52,2.08,2.08
Gujarat,Junagadh,362260,57,2.590909090909091,2.590909090909091
Gujarat,Junagadh,362263,29,2.230769230769231,2.230769230769231
Gujarat,Junagadh,362265,89,3.7083333333333335,3.7083333333333335
Gujarat,Junagadh,362266,25,1.4705882352941178,1.4705882352941178
Gujarat,Junagadh,362268,98,3.5,3.5
Gujarat,Junagadh,362269,3,1.0,1.0
Gujarat,Junagadh,362275,65,2.7083333333333335,2.7083333333333335
Gujarat,Junagadh,362310,5,1.0,1.0
Gujarat,Junagadh,362315,5,1.25,1.25
Gujarat,Junagadh,362510,33,1.5714285714285714,1.5714285714285714
Gujarat,Junagadh,362530,10,1.1111111111111112,1.1111111111111112
Gujarat,Junagadh,362550,29,1.5263157894736843,1.5263157894736843
Gujarat,Junagadh,362560,69,2.3,2.3
Gujarat,Junagadh,362565,17,1.3076923076923077,1.3076923076923077
Gujarat,Junagadh,362610,60,2.5,2.5
Gujarat,Junagadh,362620,34,1.7,1.7
Gujarat,Junagadh,362625,18,1.2857142857142858,1.2857142857142858
Gujarat,Junagadh,362630,55,2.1153846153846154,2.1153846153846154
Gujarat,Junagadh,362640,14,1.5555555555555556,1.5555555555555556
Gujarat,Junagadh,362650,2,1.0,1.0
Gujarat,Junagadh,362710,7,1.4,1.4
Gujarat,Junagadh,362720,45,1.9565217391304348,1.9565217391304348
Gujarat,Junagadh,362725,7,1.0,1.0
Gujarat,Junagadh,365440,6,1.2,1.2
Gujarat,Junagadh,365640,2,1.0,1.0
Gujarat,Kachchh,370001,1279,37.61764705882353,37.61764705882353
Gujarat,Kachchh,370015,1,1.0,1.0
Gujarat,Kachchh,370020,73,2.92,2.92
Gujarat,Kachchh,370030,65,2.6,2.6
Gujarat,Kachchh,370040,107,4.458333333333333,4.458333333333333
Gujarat,Kachchh,370105,71,3.55,3.55
Gujarat,Kachchh,370110,187,6.032258064516129,6.032258064516129
Gujarat,Kachchh,370130,13,1.0833333333333333,1.0833333333333333
Gujarat,Kachchh,370135,14,1.1666666666666667,1.1666666666666667
Gujarat,Kachchh,370140,346,11.161290322580646,11.161290322580646
Gujarat,Kachchh,370145,319,11.814814814814815,11.814814814814815
Gujarat,Kachchh,370150,103,7.357142857142857,7.357142857142857
Gujarat,Kachchh,370155,537,22.375,22.375
Gujarat,Kachchh,370160,18,1.5,1.5
Gujarat,Kachchh,370165,1029,30.264705882352942,30.264705882352942
Gujarat,Kachchh,370201,265,8.548387096774194,8.548387096774194
Gujarat,Kachchh,370203,1,1.0,1.0
Gujarat,Kachchh,370205,124,4.0,4.0
Gujarat,Kachchh,370210,8,1.1428571428571428,1.1428571428571428
Gujarat,Kachchh,370230,7,1.4,1.4
Gujarat,Kachchh,370240,66,3.0,3.0
Gujarat,Kachchh,370405,38,2.375,2.375
Gujarat,Kachchh,370410,102,6.0,6.0
Gujarat,Kachchh,370415,13,1.1818181818181819,1.1818181818181819
Gujarat,Kachchh,370421,132,5.739130434782608,5.739130434782608
Gujarat,Kachchh,370425,8,1.6,1.6
Gujarat,Kachchh,370427,14,1.4,1.4
Gujarat,Kachchh,370430,29,1.6111111111111112,1.6111111111111112
Gujarat,Kachchh,370435,18,1.5,1.5
Gujarat,Kachchh,370445,26,1.625,1.625
Gujarat,Kachchh,370450,11,1.375,1.375
Gujarat,Kachchh,370455,25,1.5625,1.5625
Gujarat,Kachchh,370460,14,1.4,1.4
Gujarat,Kachchh,370465,67,2.9130434782608696,2.9130434782608696
Gujarat,Kachchh,370475,12,1.3333333333333333,1.3333333333333333
Gujarat,Kachchh,370485,12,1.3333333333333333,1.3333333333333333
Gujarat,Kachchh,370490,27,1.8,1.8
Gujarat,Kachchh,370510,122,4.206896551724138,4.206896551724138
Gujarat,Kachchh,370601,6,1.0,1.0
Gujarat,Kachchh,370602,2,1.0,1.0
Gujarat,Kachchh,370605,40,3.3333333333333335,3.3333333333333335
Gujarat,Kachchh,370610,8,2.6666666666666665,2.6666666666666665
Gujarat,Kachchh,370615,41,2.9285714285714284,2.9285714285714284
Gujarat,Kachchh,370620,16,1.7777777777777777,1.7777777777777777
Gujarat,Kachchh,370625,59,3.6875,3.6875
Gujarat,Kachchh,370627,19,1.4615384615384615,1.4615384615384615
Gujarat,Kachchh,370630,8,1.1428571428571428,1.1428571428571428
Gujarat,Kachchh,370640,15,2.5,2.5
Gujarat,Kachchh,370645,29,2.9,2.9
Gujarat,Kachchh,370650,13,1.8571428571428572,1.8571428571428572
Gujarat,Kachchh,370655,31,1.8235294117647058,1.8235294117647058
Gujarat,Kachchh,370660,5,1.0,1.0
Gujarat,Kachchh,370665,25,1.9230769230769231,1.9230769230769231
Gujarat,Kachchh,370670,7,1.4,1.4
Gujarat,Kachchh,370675,13,1.4444444444444444,1.4444444444444444
Gujarat,Kheda,387001,476,14.0,14.0
Gujarat,Kheda,387002,63,2.52,2.52
Gujarat,Kheda,387110,24,1.6,1.6
Gujarat,Kheda,387115,80,3.8095238095238093,3.8095238095238093
Gujarat,Kheda,387120,25,1.6666666666666667,1.6666666666666667
Gujarat,Kheda,387130,384,12.8,12.8
Gujarat,Kheda,387210,6,1.2,1.2
Gujarat,Kheda,387230,9,1.5,1.5
Gujarat,Kheda,387240,5,1.0,1.0
Gujarat,Kheda,387305,28,1.4,1.4
Gujarat,Kheda,387315,36,2.0,2.0
Gujarat,Kheda,387320,61,3.05,3.05
Gujarat,Kheda,387325,15,1.25,1.25
Gujarat,Kheda,387330,57,2.1923076923076925,2.1923076923076925
Gujarat,Kheda,387335,103,3.814814814814815,3.814814814814815
Gujarat,Kheda,387340,18,1.2857142857142858,1.2857142857142858
Gujarat,Kheda,387345,18,1.3846153846153846,1.3846153846153846
Gujarat,Kheda,387350,71,2.9583333333333335,2.9583333333333335
Gujarat,Kheda,387355,23,1.6428571428571428,1.6428571428571428
Gujarat,Kheda,387360,40,2.0,2.0
Gujarat,Kheda,387365,37,1.6818181818181819,1.6818181818181819
Gujarat,Kheda,387370,16,1.4545454545454546,1.4545454545454546
Gujarat,Kheda,387375,3,1.0,1.0
Gujarat,Kheda,387380,18,1.6363636363636365,1.6363636363636365
Gujarat,Kheda,387411,32,1.6842105263157894,1.6842105263157894
Gujarat,Kheda,387430,133,4.75,4.75
Gujarat,Kheda,387510,21,1.2352941176470589,1.2352941176470589
Gujarat,Kheda,387520,14,1.5555555555555556,1.5555555555555556
Gujarat,Kheda,387530,106,4.416666666666667,4.416666666666667
Gujarat,Kheda,387540,25,1.6666666666666667,1.6666666666666667
Gujarat,Kheda,387550,26,1.7333333333333334,1.7333333333333334
Gujarat,Kheda,387560,28,1.75,1.75
Gujarat,Kheda,387570,70,2.6923076923076925,2.6923076923076925
Gujarat,Kheda,387610,43,2.0476190476190474,2.0476190476190474
Gujarat,Kheda,387620,864,26.181818181818183,26.181818181818183
Gujarat,Kheda,387630,244,7.625,7.625
Gujarat,Kheda,387635,65,2.6,2.6
Gujarat,Kheda,387640,47,2.238095238095238,2.238095238095238
Gujarat,Kheda,387650,48,2.6666666666666665,2.6666666666666665
Gujarat,Kheda,387710,27,2.25,2.25
Gujarat,Kheda,388180,24,1.6,1.6
Gujarat,Kheda,388215,17,1.3076923076923077,1.3076923076923077
Gujarat,Kheda,388220,8,1.3333333333333333,1.3333333333333333
Gujarat,Kheda,388225,71,2.5357142857142856,2.5357142857142856
Gujarat,Kheda,388230,86,3.185185185185185,3.185185185185185
Gujarat,Kheda,388235,59,2.4583333333333335,2.4583333333333335
Gujarat,Kheda,388239,1,1.0,1.0
Gujarat,Kheda,388245,34,1.8888888888888888,1.8888888888888888
Gujarat,Kheda,388250,117,3.9,3.9
Gujarat,Kheda,388255,354,11.8,11.8
Gujarat,Kheda,388260,39,1.7727272727272727,1.7727272727272727
Gujarat,Kheda,388265,29,1.7058823529411764,1.7058823529411764
Gujarat,Kheda,388307,1,1.0,1.0
Gujarat,Kheda,388440,1,1.0,1.0
Gujarat,Mahesana,382115,3,1.0,1.0
Gujarat,Mahesana,382120,1,1.0,1.0
Gujarat,Mahesana,382140,1,1.0,1.0
Gujarat,Mahesana,382145,4,1.0,1.0
Gujarat,Mahesana,382165,34,1.5454545454545454,1.5454545454545454
Gujarat,Mahesana,382170,3,1.0,1.0
Gujarat,Mahesana,382705,46,2.0,2.0
Gujarat,Mahesana,382710,18,1.125,1.125
Gujarat,Mahesana,382715,573,17.90625,17.90625
Gujarat,Mahesana,382721,5,1.0,1.0
Gujarat,Mahesana,382730,27,1.588235294117647,1.588235294117647
Gujarat,Mahesana,382732,40,2.0,2.0
Gujarat,Mahesana,382815,5,1.6666666666666667,1.6666666666666667
Gujarat,Mahesana,382820,8,1.3333333333333333,1.3333333333333333
Gujarat,Mahesana,382825,7,1.1666666666666667,1.1666666666666667
Gujarat,Mahesana,382830,20,1.4285714285714286,1.4285714285714286
Gujarat,Mahesana,382840,26,2.0,2.0
Gujarat,Mahesana,382850,10,1.25,1.25
Gujarat,Mahesana,382860,11,1.5714285714285714,1.5714285714285714
Gujarat,Mahesana,382865,22,2.0,2.0
Gujarat,Mahesana,382870,183,7.038461538461538,7.038461538461538
Gujarat,Mahesana,384001,876,23.675675675675677,23.675675675675677
Gujarat,Mahesana,384002,88,3.0344827586206895,3.0344827586206895
Gujarat,Mahesana,384003,3,1.5,1.5
Gujarat,Mahesana,384120,36,1.6363636363636365,1.6363636363636365
Gujarat,Mahesana,384130,26,1.8571428571428572,1.8571428571428572
Gujarat,Mahesana,384140,9,1.2857142857142858,1.2857142857142858
Gujarat,Mahesana,384160,9,1.0,1.0
Gujarat,Mahesana,384170,88,3.0344827586206895,3.0344827586206895
Gujarat,Mahesana,384205,33,1.65,1.65
Gujarat,Mahesana,384210,55,2.391304347826087,2.391304347826087
Gujarat,Mahesana,384212,48,1.92,1.92
Gujarat,Mahesana,384215,7,1.0,1.0
Gujarat,Mahesana,384260,15,1.6666666666666667,1.6666666666666667
Gujarat,Mahesana,384305,19,1.1875,1.1875
Gujarat,Mahesana,384310,42,3.0,3.0
Gujarat,Mahesana,384315,593,16.942857142857143,16.942857142857143
Gujarat,Mahesana,384320,13,1.1818181818181819,1.1818181818181819
Gujarat,Mahesana,384325,272,8.242424242424242,8.242424242424242
Gujarat,Mahesana,384330,56,2.6666666666666665,2.6666666666666665
Gujarat,Mahesana,384335,37,2.0555555555555554,2.0555555555555554
Gujarat,Mahesana,384340,11,1.2222222222222223,1.2222222222222223
Gujarat,Mahesana,384345,25,2.0833333333333335,2.0833333333333335
Gujarat,Mahesana,384350,38,2.0,2.0
Gujarat,Mahesana,384355,317,10.931034482758621,10.931034482758621
Gujarat,Mahesana,384360,12,1.0909090909090908,1.0909090909090908
Gujarat,Mahesana,384410,32,1.6,1.6
Gujarat,Mahesana,384415,1,1.0,1.0
Gujarat,Mahesana,384421,26,1.4444444444444444,1.4444444444444444
Gujarat,Mahesana,384430,6,1.0,1.0
Gujarat,Mahesana,384435,15,1.3636363636363635,1.3636363636363635
Gujarat,Mahesana,384440,1,1.0,1.0
Gujarat,Mahisagar,388235,4,2.0,2.0
Gujarat,Mahisagar,388255,97,3.5925925925925926,3.5925925925925926
Gujarat,Mahisagar,388260,41,1.64,1.64
Gujarat,Mahisagar,388265,36,2.0,2.0
Gujarat,Mahisagar,388270,67,2.576923076923077,2.576923076923077
Gujarat,Mahisagar,389110,50,2.0833333333333335,2.0833333333333335
Gujarat,Mahisagar,389172,33,1.65,1.65
Gujarat,Mahisagar,389190,13,1.4444444444444444,1.4444444444444444
Gujarat,Mahisagar,389210,319,63.8,63.8
Gujarat,Mahisagar,389220,60,2.2222222222222223,2.2222222222222223
Gujarat,Mahisagar,389230,323,9.787878787878787,9.787878787878787
Gujarat,Mahisagar,389232,18,1.2,1.2
Gujarat,Mahisagar,389235,26,1.5294117647058822,1.5294117647058822
Gujarat,Mahisagar,389240,85,3.269230769230769,3.269230769230769
Gujarat,Mahisagar,389250,2,1.0,1.0
Gujarat,Mahisagar,389260,491,17.535714285714285,17.535714285714285
Gujarat,Mahisagar,389265,37,2.0555555555555554,2.0555555555555554
Gujarat,Morbi,360003,1,1.0,1.0
Gujarat,Morbi,361220,2,1.0,1.0
Gujarat,Morbi,363330,841,27.129032258064516,27.129032258064516
Gujarat,Morbi,363351,29,1.8125,1.8125
Gujarat,Morbi,363621,1970,53.24324324324324,53.24324324324324
Gujarat,Morbi,363630,21,1.5,1.5
Gujarat,Morbi,363641,2941,77.39473684210526,77.39473684210526
Gujarat,Morbi,363642,647,23.107142857142858,23.107142857142858
Gujarat,Morbi,363650,318,11.777777777777779,11.777777777777779
Gujarat,Morbi,363655,28,2.3333333333333335,2.3333333333333335
Gujarat,Morbi,363660,23,1.3529411764705883,1.3529411764705883
Gujarat,Morbi,363670,63,2.52,2.52
Gujarat,Narmada,391120,40,2.2222222222222223,2.2222222222222223
Gujarat,Narmada,391121,47,2.35,2.35
Gujarat,Narmada,391150,1,1.0,1.0
Gujarat,Narmada,393025,43,2.15,2.15
Gujarat,Narmada,393040,172,6.142857142857143,6.142857142857143
Gujarat,Narmada,393041,58,2.5217391304347827,2.5217391304347827
Gujarat,Narmada,393050,59,2.5652173913043477,2.5652173913043477
Gujarat,Narmada,393120,1,1.0,1.0
Gujarat,Narmada,393130,23,1.6428571428571428,1.6428571428571428
Gujarat,Narmada,393140,17,1.2142857142857142,1.2142857142857142
Gujarat,Narmada,393145,75,2.6785714285714284,2.6785714285714284
Gujarat,Narmada,393150,6,1.0,1.0
Gujarat,Narmada,393151,62,2.48,2.48
Gujarat,Narmada,393155,20,1.8181818181818181,1.8181818181818181
Gujarat,Navsari,394730,3,1.5,1.5
Gujarat,Navsari,396040,54,2.8421052631578947,2.8421052631578947
Gujarat,Navsari,396051,6,1.0,1.0
Gujarat,Navsari,396060,33,1.9411764705882353,1.9411764705882353
Gujarat,Navsari,396110,4,1.0,1.0
Gujarat,Navsari,396310,39,1.8571428571428572,1.8571428571428572
Gujarat,Navsari,396321,74,2.96,2.96
Gujarat,Navsari,396325,14,1.2727272727272727,1.2727272727272727
Gujarat,Navsari,396350,3,1.5,1.5
Gujarat,Navsari,396360,19,1.4615384615384615,1.4615384615384615
Gujarat,Navsari,396370,2,1.0,1.0
Gujarat,Navsari,396380,19,1.2666666666666666,1.2666666666666666
Gujarat,Navsari,396403,1,1.0,1.0
Gujarat,Navsari,396406,1,1.0,1.0
Gujarat,Navsari,396409,10,1.1111111111111112,1.1111111111111112
Gujarat,Navsari,396412,12,1.5,1.5
Gujarat,Navsari,396415,12,1.7142857142857142,1.7142857142857142
Gujarat,Navsari,396418,2,1.0,1.0
Gujarat,Navsari,396421,9,1.5,1.5
Gujarat,Navsari,396424,20,1.6666666666666667,1.6666666666666667
Gujarat,Navsari,396427,6,1.0,1.0
Gujarat,Navsari,396430,13,1.1818181818181819,1.1818181818181819
Gujarat,Navsari,396433,6,1.0,1.0
Gujarat,Navsari,396436,41,2.05,2.05
Gujarat,Navsari,396439,1,1.0,1.0
Gujarat,Navsari,396440,5,1.25,1.25
Gujarat,Navsari,396445,766,21.885714285714286,21.885714285714286
Gujarat,Navsari,396450,45,1.875,1.875
Gujarat,Navsari,396460,12,4.0,4.0
Gujarat,Navsari,396463,1,1.0,1.0
Gujarat,Navsari,396466,9,1.2857142857142858,1.2857142857142858
Gujarat,Navsari,396469,3,1.5,1.5
Gujarat,Navsari,396472,8,2.0,2.0
Gujarat,Navsari,396475,11,1.5714285714285714,1.5714285714285714
Gujarat,Navsari,396521,77,3.347826086956522,3.347826086956522
Gujarat,Navsari,396530,2,1.0,1.0
Gujarat,Navsari,396540,40,1.9047619047619047,1.9047619047619047
Gujarat,Navsari,396560,26,1.7333333333333334,1.7333333333333334
Gujarat,Navsari,396570,4,1.0,1.0
Gujarat,Navsari,396580,130,5.0,5.0
Gujarat,Navsari,396590,35,2.5,2.5
Gujarat,Panch Mahals,388270,1,1.0,1.0
Gujarat,Panch Mahals,389001,619,44.214285714285715,44.214285714285715
Gujarat,Panch Mahals,389115,4,1.0,1.0
Gujarat,Panch Mahals,389210,1,1.0,1.0
Gujarat,Panch Mahals,389230,3,1.5,1.5
Gujarat,Panch Mahals,389310,1,1.0,1.0
Gujarat,Panch Mahals,389320,1,1.0,1.0
Gujarat,Panch Mahals,389330,5,1.0,1.0
Gujarat,Panch Mahals,389341,239,239.0,239.0
Gujarat,Panch Mahals,389350,222,55.5,55.5
Gujarat,Panch Mahals,389360,104,104.0,104.0
Gujarat,Panch Mahals,389365,160,80.0,80.0
Gujarat,Panchmahals,388270,17,1.2142857142857142,1.2142857142857142
Gujarat,Panchmahals,388710,30,1.7647058823529411,1.7647058823529411
Gujarat,Panchmahals,388713,61,2.259259259259259,2.259259259259259
Gujarat,Panchmahals,389001,1004,26.42105263157895,26.42105263157895
Gujarat,Panchmahals,389110,64,2.782608695652174,2.782608695652174
Gujarat,Panchmahals,389115,431,13.903225806451612,13.903225806451612
Gujarat,Panchmahals,389120,297,9.0,9.0
Gujarat,Panchmahals,389172,12,1.3333333333333333,1.3333333333333333
Gujarat,Panchmahals,389190,7,1.4,1.4
Gujarat,Panchmahals,389210,409,12.78125,12.78125
Gujarat,Panchmahals,389220,51,2.125,2.125
Gujarat,Panchmahals,389230,33,1.736842105263158,1.736842105263158
Gujarat,Panchmahals,389232,5,1.0,1.0
Gujarat,Panchmahals,389235,4,1.0,1.0
Gujarat,Panchmahals,389240,35,1.8421052631578947,1.8421052631578947
Gujarat,Panchmahals,389250,2,1.0,1.0
Gujarat,Panchmahals,389260,15,1.25,1.25
Gujarat,Panchmahals,389265,1,1.0,1.0
Gujarat,Panchmahals,389310,44,2.0,2.0
Gujarat,Panchmahals,389320,79,2.6333333333333333,2.6333333333333333
Gujarat,Panchmahals,389330,126,4.5,4.5
Gujarat,Panchmahals,389340,81,3.0,3.0
Gujarat,Panchmahals,389341,244,7.625,7.625
Gujarat,Panchmahals,389350,242,7.333333333333333,7.333333333333333
Gujarat,Panchmahals,389360,47,2.611111111111111,2.611111111111111
Gujarat,Panchmahals,389365,356,11.483870967741936,11.483870967741936
Gujarat,Panchmahals,389370,30,1.6666666666666667,1.6666666666666667
Gujarat,Panchmahals,389380,66,2.64,2.64
Gujarat,Panchmahals,389390,30,1.5789473684210527,1.5789473684210527
Gujarat,Patan,384110,36,2.0,2.0
Gujarat,Patan,384130,10,1.1111111111111112,1.1111111111111112
Gujarat,Patan,384151,1120,30.27027027027027,30.27027027027027
Gujarat,Patan,384220,46,1.84,1.84
Gujarat,Patan,384221,32,2.1333333333333333,2.1333333333333333
Gujarat,Patan,384225,36,1.8,1.8
Gujarat,Patan,384229,7,1.1666666666666667,1.1666666666666667
Gujarat,Patan,384230,21,1.3125,1.3125
Gujarat,Patan,384240,563,18.161290322580644,18.161290322580644
Gujarat,Patan,384241,163,6.791666666666667,6.791666666666667
Gujarat,Patan,384245,695,23.96551724137931,23.96551724137931
Gujarat,Patan,384246,30,1.6666666666666667,1.6666666666666667
Gujarat,Patan,384255,50,2.7777777777777777,2.7777777777777777
Gujarat,Patan,384260,3,1.0,1.0
Gujarat,Patan,384265,1581,40.53846153846154,40.53846153846154
Gujarat,Patan,384272,121,6.368421052631579,6.368421052631579
Gujarat,Patan,384275,46,2.090909090909091,2.090909090909091
Gujarat,Patan,384285,659,21.966666666666665,21.966666666666665
Gujarat,Patan,384290,60,2.5,2.5
Gujarat,Patan,385320,4,1.3333333333333333,1.3333333333333333
Gujarat,Patan,385340,1092,35.225806451612904,35.225806451612904
Gujarat,Patan,385350,58,3.0526315789473686,3.0526315789473686
Gujarat,Patan,385360,683,22.766666666666666,22.766666666666666
Gujarat,Porbandar,360490,6,1.2,1.2
Gujarat,Porbandar,360510,4,1.0,1.0
Gujarat,Porbandar,360545,27,1.6875,1.6875
Gujarat,Porbandar,360550,54,2.25,2.25
Gujarat,Porbandar,360560,22,1.375,1.375
Gujarat,Porbandar,360570,114,4.071428571428571,4.071428571428571
Gujarat,Porbandar,360575,1107,31.62857142857143,31.62857142857143
Gujarat,Porbandar,360576,34,1.7,1.7
Gujarat,Porbandar,360577,9,1.5,1.5
Gujarat,Porbandar,360578,7,1.1666666666666667,1.1666666666666667
Gujarat,Porbandar,360579,289,11.56,11.56
Gujarat,Porbandar,360590,48,2.4,2.4
Gujarat,Porbandar,362230,52,2.260869565217391,2.260869565217391
Gujarat,Porbandar,362620,15,1.3636363636363635,1.3636363636363635
Gujarat,Porbandar,362650,62,2.48,2.48
Gujarat,Rajkot,360001,1003,27.10810810810811,27.10810810810811
Gujarat,Rajkot,360002,1658,44.810810810810814,44.810810810810814
Gujarat,Rajkot,360003,1208,34.51428571428571,34.51428571428571
Gujarat,Rajkot,360004,1436,38.810810810810814,38.810810810810814
Gujarat,Rajkot,360005,786,23.818181818181817,23.818181818181817
Gujarat,Rajkot,360006,193,6.892857142857143,6.892857142857143
Gujarat,Rajkot,360007,357,11.15625,11.15625
Gujarat,Rajkot,360020,26,1.7333333333333334,1.7333333333333334
Gujarat,Rajkot,360021,18,1.3846153846153846,1.3846153846153846
Gujarat,Rajkot,360022,300,11.11111111111111,11.11111111111111
Gujarat,Rajkot,360023,39,2.1666666666666665,2.1666666666666665
Gujarat,Rajkot,360024,41,1.8636363636363635,1.8636363636363635
Gujarat,Rajkot,360025,79,2.8214285714285716,2.8214285714285716
Gujarat,Rajkot,360030,27,1.6875,1.6875
Gujarat,Rajkot,360035,9,1.2857142857142858,1.2857142857142858
Gujarat,Rajkot,360040,29,1.6111111111111112,1.6111111111111112
Gujarat,Rajkot,360050,633,19.78125,19.78125
Gujarat,Rajkot,360055,318,9.9375,9.9375
Gujarat,Rajkot,360060,53,2.5238095238095237,2.5238095238095237
Gujarat,Rajkot,360070,5,1.0,1.0
Gujarat,Rajkot,360110,219,7.064516129032258,7.064516129032258
Gujarat,Rajkot,360311,774,21.5,21.5
Gujarat,Rajkot,360320,9,1.5,1.5
Gujarat,Rajkot,360330,36,2.1176470588235294,2.1176470588235294
Gujarat,Rajkot,360360,21,1.3125,1.3125
Gujarat,Rajkot,360370,699,19.97142857142857,19.97142857142857
Gujarat,Rajkot,360375,7,1.1666666666666667,1.1666666666666667
Gujarat,Rajkot,360380,16,1.3333333333333333,1.3333333333333333
Gujarat,Rajkot,360405,20,1.4285714285714286,1.4285714285714286
Gujarat,Rajkot,360410,139,4.483870967741935,4.483870967741935
Gujarat,Rajkot,360421,4,1.0,1.0
Gujarat,Rajkot,360430,3,1.0,1.0
Gujarat,Rajkot,360440,19,1.3571428571428572,1.3571428571428572
Gujarat,Rajkot,360450,28,1.4736842105263157,1.4736842105263157
Gujarat,Rajkot,360452,13,1.3,1.3
Gujarat,Rajkot,360460,15,1.875,1.875
Gujarat,Rajkot,360470,8,1.1428571428571428,1.1428571428571428
Gujarat,Rajkot,360480,25,2.0833333333333335,2.0833333333333335
Gujarat,Rajkot,360490,116,3.7419354838709675,3.7419354838709675
Gujarat,Rajkot,363440,304,304.0,304.0
Gujarat,Rajkot,363520,986,328.6666666666667,328.6666666666667
Gujarat,Rajkot,363621,87,3.107142857142857,3.107142857142857
Gujarat,Rajkot,363630,18,1.6363636363636365,1.6363636363636365
Gujarat,Rajkot,363641,263,8.21875,8.21875
Gujarat,Rajkot,363642,85,2.9310344827586206,2.9310344827586206
Gujarat,Rajkot,363650,37,1.7619047619047619,1.7619047619047619
Gujarat,Rajkot,363655,2,1.0,1.0
Gujarat,Rajkot,363660,32,2.0,2.0
Gujarat,Rajkot,363670,42,2.4705882352941178,2.4705882352941178
Gujarat,Rajkot,364465,14,1.0769230769230769,1.0769230769230769
Gujarat,Rajkot,364470,12,1.3333333333333333,1.3333333333333333
Gujarat,Rajkot,364485,6,1.2,1.2
Gujarat,Rajkot,364490,26,1.625,1.625
Gujarat,Rajkot,364750,11,1.375,1.375
Gujarat,Rajkot,365410,2,1.0,1.0
Gujarat,Rajkot,365450,1,1.0,1.0
Gujarat,Rajkot,365480,5,1.25,1.25
Gujarat,Sabar Kantha,383001,383,127.66666666666667,127.66666666666667
Gujarat,Sabar Kantha,383205,155,155.0,155.0
Gujarat,Sabar Kantha,383215,95,47.5,47.5
Gujarat,Sabar Kantha,383220,164,164.0,164.0
Gujarat,Sabar Kantha,383235,2,1.0,1.0
Gujarat,Sabar Kantha,383250,1,1.0,1.0
Gujarat,Sabar Kantha,383251,2,1.0,1.0
Gujarat,Sabar Kantha,383255,226,226.0,226.0
Gujarat,Sabar Kantha,383270,622,622.0,622.0
Gujarat,Sabar Kantha,383276,1,1.0,1.0
Gujarat,Sabar Kantha,383310,6,1.0,1.0
Gujarat,Sabar Kantha,383315,18,1.2857142857142858,1.2857142857142858
Gujarat,Sabar Kantha,383316,1,1.0,1.0
Gujarat,Sabar Kantha,383317,1,1.0,1.0
Gujarat,Sabar Kantha,383320,2,1.0,1.0
Gujarat,Sabar Kantha,383325,4,1.0,1.0
Gujarat,Sabar Kantha,383330,3,1.0,1.0
Gujarat,Sabar Kantha,383340,1,1.0,1.0
Gujarat,Sabar Kantha,383345,2,1.0,1.0
Gujarat,Sabar Kantha,383350,23,1.7692307692307692,1.7692307692307692
Gujarat,Sabar Kantha,383422,499,499.0,499.0
Gujarat,Sabar Kantha,383430,136,136.0,136.0
Gujarat,Sabarkantha,383001,499,16.096774193548388,16.096774193548388
Gujarat,Sabarkantha,383010,45,2.0454545454545454,2.0454545454545454
Gujarat,Sabarkantha,383030,24,1.3333333333333333,1.3333333333333333
Gujarat,Sabarkantha,383110,48,2.823529411764706,2.823529411764706
Gujarat,Sabarkantha,383120,42,2.3333333333333335,2.3333333333333335
Gujarat,Sabarkantha,383205,216,7.2,7.2
Gujarat,Sabarkantha,383210,24,1.7142857142857142,1.7142857142857142
Gujarat,Sabarkantha,383215,60,3.0,3.0
Gujarat,Sabarkantha,383220,49,2.0416666666666665,2.0416666666666665
Gujarat,Sabarkantha,383225,35,2.3333333333333335,2.3333333333333335
Gujarat,Sabarkantha,383230,34,1.5454545454545454,1.5454545454545454
Gujarat,Sabarkantha,383235,54,2.0,2.0
Gujarat,Sabarkantha,383240,6,1.0,1.0
Gujarat,Sabarkantha,383245,35,1.9444444444444444,1.9444444444444444
Gujarat,Sabarkantha,383246,68,2.4285714285714284,2.4285714285714284
